window,start_year,end_year,role,area_code,area_name,nonmgr_occ_code,mgr_occ_code,nonmgr_emp_t,nonmgr_emp_t1,mgr_emp_t,mgr_emp_t1,nonmgr_wage_t,nonmgr_wage_t1,mgr_wage_t,mgr_wage_t1,dln_nonmgr_mgr_emp_ratio,dln_nonmgr_mgr_wage_ratio,weight
2015-2016,2015,2016,Pre-gAI,10180,"Abilene, TX",15-1131,11-3021,40,40,60,50,60170,62670,94990,107830,0.1823215567939547,-0.0860753149875663,100.0
2015-2016,2015,2016,Pre-gAI,10420,"Akron, OH",15-1131,11-3021,280,370,740,760,66810,70280,127870,127190,0.2520451553868591,0.0559665847411943,1020.0
2015-2016,2015,2016,Pre-gAI,10580,"Albany-Schenectady-Troy, NY",15-1131,11-3021,2150,2120,1470,1410,76210,75800,123560,125010,0.0276209429449176,-0.017061261081791,3620.0
2015-2016,2015,2016,Pre-gAI,10740,"Albuquerque, NM",15-1131,11-3021,1000,390,550,580,106060,81400,109270,106400,-0.9947183651723932,-0.2380133920253792,1550.0
2015-2016,2015,2016,Pre-gAI,10900,"Allentown-Bethlehem-Easton, PA-NJ",15-1131,11-3021,730,630,560,550,78230,78720,140310,145920,-0.1293062092541801,-0.0329602188731078,1290.0
2015-2016,2015,2016,Pre-gAI,11020,"Altoona, PA",15-1131,11-3021,110,70,40,30,50890,70030,101580,100140,-0.1643030512912762,0.3335347395379853,150.0
2015-2016,2015,2016,Pre-gAI,11100,"Amarillo, TX",15-1131,11-3021,250,140,50,90,74070,91530,109620,119950,-1.167605160155061,0.1216010457037568,300.0
2015-2016,2015,2016,Pre-gAI,11180,"Ames, IA",15-1131,11-3021,80,90,100,120,57830,60880,109890,112740,-0.0645385211375711,0.025792624188707,180.0
2015-2016,2015,2016,Pre-gAI,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1131,11-3021,4430,3880,4690,4920,82150,81970,138710,142830,-0.180440378467891,-0.0314632069176762,9120.0
2015-2016,2015,2016,Pre-gAI,11260,"Anchorage, AK",15-1131,11-3021,320,330,250,220,103190,95500,122870,122860,0.1586050301766385,-0.0773643114972399,570.0
2015-2016,2015,2016,Pre-gAI,11460,"Ann Arbor, MI",15-1131,11-3021,560,420,760,850,71900,76720,125590,131020,-0.3995999886557662,0.0225588155744869,1320.0
2015-2016,2015,2016,Pre-gAI,11540,"Appleton, WI",15-1131,11-3021,220,220,260,220,72590,74200,106820,111100,0.1670540846631662,-0.0173485428573746,480.0
2015-2016,2015,2016,Pre-gAI,11700,"Asheville, NC",15-1131,11-3021,140,180,100,100,72610,87430,109130,109760,0.2513144282809061,0.1799794879480675,240.0
2015-2016,2015,2016,Pre-gAI,12020,"Athens-Clarke County, GA",15-1131,11-3021,50,60,140,150,63330,69320,95320,103780,0.1133286853070031,0.005340692610014,190.0
2015-2016,2015,2016,Pre-gAI,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1131,11-3021,7840,7480,9750,10620,84690,89330,135950,139820,-0.1324777731799675,0.0252711367748805,17590.0
2015-2016,2015,2016,Pre-gAI,12100,"Atlantic City-Hammonton, NJ",15-1131,11-3021,50,100,200,260,69230,85300,132490,127800,0.4307829160924542,0.2447807887442967,250.0
2015-2016,2015,2016,Pre-gAI,12220,"Auburn-Opelika, AL",15-1131,11-3021,80,110,60,60,82940,70830,105980,103010,0.3184537311185346,-0.1294104888836899,140.0
2015-2016,2015,2016,Pre-gAI,12260,"Augusta-Richmond County, GA-SC",15-1131,11-3021,150,100,220,230,62290,74030,106170,110390,-0.4499168706789981,0.1336915501841741,370.0
2015-2016,2015,2016,Pre-gAI,12420,"Austin-Round Rock, TX",15-1131,11-3021,3780,2970,3090,3030,90500,86030,154320,154140,-0.2215535854285116,-0.0494866898249973,6870.0
2015-2016,2015,2016,Pre-gAI,12540,"Bakersfield, CA",15-1131,11-3021,190,160,270,260,86200,79700,115500,121450,-0.1341099289438121,-0.1286327173598112,460.0
2015-2016,2015,2016,Pre-gAI,12580,"Baltimore-Columbia-Towson, MD",15-1131,11-3021,2870,2850,4240,4380,88720,85100,141840,142690,-0.0394784906354589,-0.0476330906393145,7110.0
2015-2016,2015,2016,Pre-gAI,12940,"Baton Rouge, LA",15-1131,11-3021,630,670,510,480,70310,72290,98750,104340,0.1221825148158681,-0.0272916230118795,1140.0
2015-2016,2015,2016,Pre-gAI,13140,"Beaumont-Port Arthur, TX",15-1131,11-3021,60,50,90,110,60900,63990,118480,119180,-0.3829922522561057,0.0436028610762279,150.0
2015-2016,2015,2016,Pre-gAI,13380,"Bellingham, WA",15-1131,11-3021,100,110,90,100,98150,106860,124800,115990,-0.0100503358535014,0.1582311212486976,190.0
2015-2016,2015,2016,Pre-gAI,13460,"Bend-Redmond, OR",15-1131,11-3021,60,60,110,130,73070,63550,112240,114860,-0.167054084663166,-0.1626654478096084,170.0
2015-2016,2015,2016,Pre-gAI,13740,"Billings, MT",15-1131,11-3021,140,130,90,70,55110,58060,112750,113720,0.1772064561271842,0.0435794623013284,230.0
2015-2016,2015,2016,Pre-gAI,13780,"Binghamton, NY",15-1131,11-3021,190,150,170,170,75800,88720,133210,132690,-0.2363887780642304,0.1612983002088118,360.0
2015-2016,2015,2016,Pre-gAI,13820,"Birmingham-Hoover, AL",15-1131,11-3021,1960,2150,1220,1250,78440,80280,119130,116220,0.068230676328101,0.047916909764302,3180.0
2015-2016,2015,2016,Pre-gAI,13900,"Bismarck, ND",15-1131,11-3021,150,140,110,120,63060,66990,97880,105710,-0.1560042484765811,-0.0165005568028392,260.0
2015-2016,2015,2016,Pre-gAI,13980,"Blacksburg-Christiansburg-Radford, VA",15-1131,11-3021,50,70,100,100,58750,66830,126450,137560,0.3364722366212128,0.044647716050619,150.0
