window,start_year,end_year,role,area_code,area_name,nonmgr_occ_code,mgr_occ_code,nonmgr_emp_t,nonmgr_emp_t1,mgr_emp_t,mgr_emp_t1,nonmgr_wage_t,nonmgr_wage_t1,mgr_wage_t,mgr_wage_t1,dln_nonmgr_mgr_emp_ratio,dln_nonmgr_mgr_wage_ratio,weight
2015-2016,2015,2016,Pre-gAI,10580,"Albany-Schenectady-Troy, NY",15-1132+15-1133,11-3021,2940,2970,1470,1410,86651.0,87302.0,123560.0,125010.0,0.0518250678645859,-0.0041820507374295,4410.0
2015-2016,2015,2016,Pre-gAI,10740,"Albuquerque, NM",15-1132+15-1133,11-3021,1920,1890,550,580,89363.0,98311.0,109270.0,106400.0,-0.0688581822820875,0.122045503641952,2470.0
2015-2016,2015,2016,Pre-gAI,10900,"Allentown-Bethlehem-Easton, PA-NJ",15-1132+15-1133,11-3021,1490,1370,560,550,95428.0,99461.0,140310.0,145920.0,-0.065946874614656,0.0021893051696626,2050.0
2015-2016,2015,2016,Pre-gAI,11180,"Ames, IA",15-1132+15-1133,11-3021,380,350,100,120,81918.0,83868.0,109890.0,112740.0,-0.2645596550309268,-0.0020790298422735,480.0
2015-2016,2015,2016,Pre-gAI,11244,"Anaheim-Santa Ana-Irvine, CA Metropolitan Division",15-1132+15-1133,11-3021,17000,18860,4690,4920,113311.0,119679.0,138710.0,142830.0,0.0559539851030666,0.0254072187770203,21690.0
2015-2016,2015,2016,Pre-gAI,11260,"Anchorage, AK",15-1132+15-1133,11-3021,420,390,250,220,,,122870.0,122860.0,0.053725399356163,,670.0
2015-2016,2015,2016,Pre-gAI,11460,"Ann Arbor, MI",15-1132+15-1133,11-3021,2880,2710,760,850,95167.0,98529.0,125590.0,131020.0,-0.1727595754602303,-0.0076096722327456,3640.0
2015-2016,2015,2016,Pre-gAI,11540,"Appleton, WI",15-1132+15-1133,11-3021,420,500,260,220,82787.0,87504.0,106820.0,111100.0,0.341407471807944,0.0161279406367093,680.0
2015-2016,2015,2016,Pre-gAI,12060,"Atlanta-Sandy Springs-Roswell, GA",15-1132+15-1133,11-3021,32090,34520,9750,10620,95865.0,101833.0,135950.0,139820.0,-0.0124773197105752,0.0323245548400465,41840.0
2015-2016,2015,2016,Pre-gAI,12260,"Augusta-Richmond County, GA-SC",15-1132+15-1133,11-3021,530,480,220,230,82269.0,81184.0,106170.0,110390.0,-0.1435426652150648,-0.0522541495958083,750.0
